Date,Tweet,Likes,Retweets,URL
2025-01-11 23:04:46+00:00,"Estimado Presidente Mulino, los venezolanos estaremos siempre agradecidos por el respaldo y solidaridad que Panamá nos ha brindado en este momento crucial para nuestra nación. 

Los aliados democráticos del mundo estamos más unidos que nunca y decididos a avanzar hasta lograr el… https://t.co/2CYUHSKVJJ https://t.co/p9SRHhNhPw",35141,7873,https://twitter.com/MariaCorinaYA/status/1878216509413102019
2025-01-11 21:07:51+00:00,https://t.co/OuFjEHeVnd,3451,1139,https://twitter.com/MariaCorinaYA/status/1878187088702541850
2025-01-11 21:07:49+00:00,"En su desesperación y aislamiento al régimen lo único que le queda es arremeter contra valientes ciudadanos. 

En las últimas horas, más de 30 venezolanos que protestaban este 9 de enero pacífica y organizadamente fueron secuestrados por las fuerzas represoras de Maduro. Esto… https://t.co/mtxfUTYub7 https://t.co/Fy0NROUd2r",24390,12067,https://twitter.com/MariaCorinaYA/status/1878187078984384727
2025-01-11 20:36:21+00:00,"Nuestro total agradecimiento al Presidente @GabrielBoric y al Gobierno de Chile por esta nítida y firme posición en defensa de la Soberanía Popular, la verdad y la democracia en Venezuela.

Es el momento de que todos los gobiernos democráticos del mundo actúen unidos y con más… https://t.co/BytpGt1LnA https://t.co/9p81ndNPCp",39824,9482,https://twitter.com/MariaCorinaYA/status/1878179160260067723
2025-01-11 20:04:41+00:00,"Gracias, estimado Caspar Veldkamp (@ministerBZ), por su apoyo a nuestra valiente lucha. Sabemos que siempre contaremos con los Países Bajos como un aliado estratégico e indispensable para la transición a la democracia en Venezuela. Hoy, estamos más firmes que nunca y decididos a… https://t.co/qnkR4viYl2 https://t.co/R0BCC7yrIP",26997,6548,https://twitter.com/MariaCorinaYA/status/1878171191535419412
2025-01-11 18:49:22+00:00,"President Trump,

Your unwavering support for Venezuela’s fight for democracy is deeply valued. 

With extraordinary courage, the Venezuelan people have consistently defied fear and brutal repression, standing united to reject a criminal regime desperate to cling to power and… https://t.co/v07WqLmkNy https://t.co/7EVCvHiQ2v",35252,9527,https://twitter.com/MariaCorinaYA/status/1878152239237263686
2025-01-11 18:45:33+00:00,"Presidente Trump,

Valoramos profundamente su apoyo inquebrantable a la lucha de Venezuela por nuestra democracia. 

Con un coraje extraordinario, el pueblo venezolano ha desafiado el miedo y la brutal represión, manteniéndose unido y firme frente a un régimen criminal,… https://t.co/BAp4JUvor4 https://t.co/7EVCvHjnS3",70376,16850,https://twitter.com/MariaCorinaYA/status/1878151278557327662
2025-01-10 22:22:47+00:00,"RT @EdmundoGU: ¡Compatriotas venezolanos!

Represento la voluntad de casi 8 millones de venezolanos dentro de la patria, y la de los millon…",0,42645,https://twitter.com/MariaCorinaYA/status/1877843556292870580
2025-01-10 20:57:30+00:00,"10 de enero de 2025

Haremos lo que sea necesario para restituir la Constitución.

VENEZUELA SERÁ LIBRE! https://t.co/dDVy7IjfNB",108626,24335,https://twitter.com/MariaCorinaYA/status/1877822096182530559
2025-01-10 19:43:45+00:00,"10 de enero de 2025

Mi mensaje a los venezolanos

https://t.co/S8Sh0rZzfY",18742,6138,https://twitter.com/MariaCorinaYA/status/1877803535200326011
2025-01-10 00:51:23+00:00,"Venezolanos,

Hoy, el Bravo Pueblo demostró cómo se VENCE al miedo!

Nunca me he sentido tan orgullosa de ser venezolana.

Gracias, gracias, a todos los ciudadanos que salieron a las calles a reivindicar nuestra victoria del 28 de julio y a COBRARLA!

Mi corazón está con el… https://t.co/7iwVCmrPSF",258350,60379,https://twitter.com/MariaCorinaYA/status/1877518564636381617
2025-01-09 19:23:27+00:00,"RT @ConVzlaComando: ⚠️⚠️⚠️ María Corina (@MariaCorinaYA) fue violentamente interceptada a su salida de la concentración en Chacao. 

Espera…",0,24706,https://twitter.com/MariaCorinaYA/status/1877436038940864593
2025-01-09 19:09:30+00:00,RT @sincepto: Ahora mismo @MariaCorinaYA en Chacao https://t.co/Jq2ZM4Biwg,0,3539,https://twitter.com/MariaCorinaYA/status/1877432530321719322
2025-01-09 18:56:14+00:00,"RT @VPITV: #ÚLTIMAHORA | María Corina Machado (@MariaCorinaYA): ""Toda esta fuerza que hemos construido y que crece cada día nos prepara par…",0,6060,https://twitter.com/MariaCorinaYA/status/1877429188610683295
2025-01-09 18:46:55+00:00,"RT @JuanPGuanipa: Sigamos adelante hasta lograr el cambio que todos aspiramos.

Al final, quienes quieren imponer el fraude y la mentira so…",0,10730,https://twitter.com/MariaCorinaYA/status/1877426847173976287
